DOI	Date	Subjects	License	Title	Authors	Affiliations
http://dx.doi.org/10.1101/044057	2016-04-16	Bioengineering		Membrane insertion of- and membrane potential sensing by semiconductor voltage nanosensors: feasibility demonstration	Kyoungwon Park|Yung Kuo|Volodymyr Shvadchak|Antonino Ingargiola|Xinghong Dai|Lawrence Hsiung|Wookyeom Kim|Hong Zhou|Peng Zou|Alex Levine|Jack Li|Shimon Weiss	Dept. of Chemistry & Biochemistry, University of California, Los Angeles;|Institute of Organic Chemistry and Biochemistry AS CR;|Department of Microbiology, Immunology, and Molecular Genetic, University of California, Los Angeles;|Chemical and Biomolecular Engineering Department, University of California, Los Angeles;|Department of Ecology and Evolutionary Biology, University of California, Los Angeles;|California NanoSystems Institute, University of California, Los Angeles;|College of Chemistry and Molecular Engineering, Peking University;|Dept. of Chemistry, Dept. of Physics, University of California, Los Angeles
http://dx.doi.org/10.1101/018499	2016-04-16	Zoology	CC-BY	Acute and chronic gregarisation are associated with distinct DNA methylation fingerprints in desert locusts	Eamonn B Mallon|Harindra E Amarasinghe|Swidbert R Ott	University of Leicester;|University of Southampton
http://dx.doi.org/10.1101/048942	2016-04-15	Bioinformatics		plasmidSPAdes: Assembling Plasmids from Whole Genome Sequencing Data	Dmitry Antipov|Nolan Hartwick|Max Shen|Mikhail Raiko|Alla Lapidus|Pavel Pevzner	St. Petersburg State University;|Department of Computer Science and Engineering, University of California, San Diego, USA;|Bioinformatics and Systems Biology Program, Massachusetts Institute of Technology, USA
http://dx.doi.org/10.1101/048835	2016-04-15	Genetics		A simple offspring-to-mother size ratio predicts post-reproductive lifespan	George Maliha|Coleen T Murphy	Princeton University
http://dx.doi.org/10.1101/048975	2016-04-15	Evolutionary Biology	CC-BY-NC-ND	On the importance of skewed offspring distributions and background selection in viral population genetics	Kristen K. Irwin|Stefan Laurent|Sebastian Matuszewski|Severine Vuilleumier|Louise Ormond|Hyunjin Shim|Claudia Bank|Jeffrey D. Jensen	Ecole Polytechnique Federale de Lausanne (EPFL);|Instituto Gulbenkian de Ciencia
http://dx.doi.org/10.1101/048959	2016-04-15	Microbiology	CC-BY-NC	Time-resolved dual RNA-Seq reveals extensive rewiring of lung epithelial and pneumococcal transcriptomes during early infection	Rieza Aprianto|Jelle Slager|Siger Holsappel|Jan-Willem Veening	University of Groningen
http://dx.doi.org/10.1101/048686	2016-04-15	Biophysics	CC-BY-NC	Contact statistics highlight distinct organizing principles of proteins and RNA	Lei Liu|Changbong Hyeon	Korea Institute for Advanced Study
http://dx.doi.org/10.1101/048819	2016-04-15	Genetics	CC-BY-NC-ND	The Genetic Architecture of a Complex Trait is more Sensitive to Genetic Model than Population Growth	Jaleal Sanjak|Anthony D Long|Kevin R Thornton	University of California Irvine
http://dx.doi.org/10.1101/023200	2016-04-15	Neuroscience	CC-BY	Dendrites enable a robust mechanism for neuronal stimulus selectivity	Romain D. Caze|Sarah Jarvis|Amanda Joy Foust|Simon R Schultz	Center for Neurotechnology and Dpt. of Bioengineering, Imperial College London;|Imperial College London
http://dx.doi.org/10.1101/048173	2016-04-15	Plant Biology	CC-BY-NC-ND	The Interaction of Genotype and Environment Determines Variation in the Maize Kernel Ionome	Alexandra B Asaro|Gregory R Ziegler|Cathrine Ziyomo|Owen A Hoekenga|Brian P Dilkes|Ivan Baxter	Washington University in St. Louis, Donald Danforth Plant Science Center;|Donald Danforth Plant Science Center, USDA-Agricultural Research Service;|Donald Danforth Plant Science Center;|Genomic Consulting;|Purdue University
http://dx.doi.org/10.1101/046789	2016-04-15	Evolutionary Biology	CC-BY-NC-ND	The Bcl10/paracaspase signalling complex is functionally conserved since the last common ancestor of planulozoa.	Jens Staal|Yasmine Driege|Paco Hulpiau|Rudi Beyaert	Ghent University
http://dx.doi.org/10.1101/038992	2016-04-15	Bioinformatics	CC-BY-NC-ND	Convert Your Favorite Protein Modeling Program Into A Mutation Predictor: "MODICT"	Ibrahim Tanyalcin|Katrien Stouffs|Dorien Daneels|Carla Al Assaf|Willy Lissens|Anna Jansen|Alexander Gheldof	Vrije Universiteit Brussel;|UZ Brussel, VUB;|KU Leuven;|UZ Brussel
http://dx.doi.org/10.1101/040410	2016-04-15	Cell Biology	CC-BY-NC-ND	Distinct stages in the recognition, sorting and packaging of proTGFα into COPII coated transport vesicles	Pengcheng Zhang|Randy Schekman	University of California, Berkeley;|University of California, Berkeley and Howard Hughes Medical Institute
http://dx.doi.org/10.1101/038380	2016-04-15	Genomics	CC-BY	Short template switch events in human evolution cause complex mutation patterns	Ari Loytynoja|Nick Goldman	Institute of Biotechnology, University of Helsinki;|EMBL-European Bioinformatics Institute
http://dx.doi.org/10.1101/038604	2016-04-15	Evolutionary Biology	CC-BY-NC-ND	The stasis that wasn't: Adaptive body mass evolution is opposite to phenotypic selection in a wild rodent population	Timothee Bonnet|Peter Wandeler|Glauco Camenisch|Erik Postma	University of Zurich;|Naturhistorisches Museum Freiburg
http://dx.doi.org/10.1101/048850	2016-04-15	Genomics	CC-BY-NC-ND	Enrichment of long DNA fragments from mixed samples for Nanopore sequencing	Sabine E Eckert|Jackie Z-M Chan|Darren Houniet|Judy Breuer|Graham Speight	Oxford Gene Technology;|UCL Division of Infection & Immunity
http://dx.doi.org/10.1101/048710	2016-04-15	Synthetic Biology	CC-BY-NC-ND	Development of prokaryotic cell-free systems for synthetic biology	Abel C Chiao|Richard M Murray|Zachary Z Sun	Synvitrobio, Inc.;|Caltech
http://dx.doi.org/10.1101/048744	2016-04-15	Bioinformatics	CC-BY	Ten Simple Rules for Taking Advantage of git and GitHub	Yasset Perez-Riverol|Laurent Gatto|Rui Wang|Timo Sachsenberg|Julian Uszkoreit|Felipe da Veiga Leprevost|Christian Fufezan|Tobias Ternent|Stephen J Eglen|Daniel S Katz|Tom J Pollard|Alexander Konovalov|Robert M Flight|Kai Blin|Juan Antonio Vizcaino	European Bioinformatics Institute;|University of Cambridge;|University of Tubingen;|Ruhr-Universitat Bochum;|University of Michigan;|University of Muenster;|University of Illinois;|Massachusetts Institute of Technology;|University of St Andrews;|University of Kentucky;|Technical University of Denmark
http://dx.doi.org/10.1101/048918	2016-04-15	Neuroscience	CC-BY-NC-ND	Adaptation-induced blindness is orientation-tuned and monocular	Deborah Apthorp|Scott Griffiths|David Alais|John Cass	Australian National University;|University of Sydney;|Western Sydney University
http://dx.doi.org/10.1101/048827	2016-04-15	Genomics	CC-BY-NC	Evidence of a recombination rate valley in human regulatory domains	Yaping Liu|Abhishek Sarkar|Manolis Kellis	Massachusetts Institute of Technology, Broad Institute of MIT and Harvard;|MIT
http://dx.doi.org/10.1101/048843	2016-04-15	Bioinformatics	CC-BY	k-BOOM: A Bayesian approach to ontology structure inference, with applications in disease ontology construction	Christopher J Mungall|Sebastian Koehler|Peter Robinson|Ian Holmes|Melissa Haendel	LBNL;|Charite;|University of California at Berkeley;|OHSU
http://dx.doi.org/10.1101/048785	2016-04-15	Genomics	CC-BY-NC-ND	Levels and patterns of genetic diversity differ between two closely related endemic Arabidopsis species	Julie Jacquemin|Nora Hohmann|Matteo Buti|Alberto Selvaggi|Thomas Muller|Marcus A Koch|Karl J Schmid	University Hohenheim, Stuttgart, Germany;|Ruprecht-Karls-University Heidelberg, Germany;|Istituto Agrario di San Michele all'Adige, Italy;|Istituto Piante da Legno e l'Ambiente, Torino, Italy;|University of Zurich, Switzerland
http://dx.doi.org/10.1101/048884	2016-04-15	Genomics	CC-BY-NC-ND	A comparative analysis of 5-azacytidine and zebularine induced DNA demethylation	Patrick T Griffin|Chad E Niederhuth|Robert J. Schmitz	University of Georgia, United States
http://dx.doi.org/10.1101/048801	2016-04-15	Biophysics	CC-BY-NC-ND	Salt Effects on the Thermodynamics of a Frameshifting RNA Pseudoknot under Tension	Naoto Hori|Natalia A. Denesyuk|Dave Thirumalai	University of Texas at Austin;|University of Maryland
http://dx.doi.org/10.1101/048900	2016-04-15	Evolutionary Biology	CC-BY	Selective pressures on C4 photosynthesis evolution in grasses through the lens of optimality	Haoran Zhou|Brent Helliker|Erol Akcay	University of Pennsylvania;|University of Pennsylvania, Department of Biology
http://dx.doi.org/10.1101/048769	2016-04-15	Evolutionary Biology	CC-BY-NC-ND	On the (un-)predictability of a large intragenic fitness landscape	Claudia Bank|Sebastian Matuszewski|Ryan T. Hietpas|Jeffrey Jensen	Instituto Gulbenkian de Ciencia;|Ecole Polytechnique Federale de Lausanne (EPFL);|Eli Lilly & Company
http://dx.doi.org/10.1101/048876	2016-04-15	Ecology	CC-BY	Emergence of increased frequency and severity of multiple infections by viruses due to spatial clustering of hosts	Bradford P Taylor|Catherine J Penington|Joshua S Weitz	Georgia Institute of Technology;|Queensland University of Technology
http://dx.doi.org/10.1101/046797	2016-04-14	Evolutionary Biology	CC-BY-NC-ND	Potential pitfalls in estimating viral load heritability	Gabriel E Leventhal|Sebastian Bonhoeffer	Massachusetts Institute of Technology (MIT);|ETH Zurich
http://dx.doi.org/10.1101/042507	2016-04-14	Immunology	CC-BY	Diurnal variation of circulating interleukin-6 in humans: a meta-analysis	Gustav Nilsonne|Mats Lekander|Torbjorn Akerstedt|John Axelsson|Michael Ingre	Stockholm University;|Karolinska Institutet
http://dx.doi.org/10.1101/037549	2016-04-14	Neuroscience		The basis of sharp spike onset in standard biophysical models	Maria Telenczuk|Bertrand Fontaine|Romain Brette	UPMC;|University of Leuven
http://dx.doi.org/10.1101/036558	2016-04-14	Bioinformatics	CC-BY	SC3 - consensus clustering of single-cell RNA-Seq data	Vladimir Yu. Kiselev|Kristina Kirschner|Michael T. Schaub|Tallulah Andrews|Tamir Chandra|Kedar N Natarajan|Wolf Reik|Mauricio Barahona|Anthony R Green|Martin Hemberg	Wellcome Trust Sanger Institute, Cambridge, Hinxton, UK;|Cambridge Institute for Medical Research, Cambridge, UK;|Universite catholique de Louvain, Belgium;|Babraham Institute, Cambridge, UK;|EMBL-European Bioinformatics Institute, Hinxton, Cambridge, UK;|Imperial College London, London, UK
http://dx.doi.org/10.1101/048728	2016-04-14	Microbiology	CC-BY-NC-ND	mazEF mediated programmed cell death in Escherichia coli: is it?	Bhaskar Chandra Mohan Ramisetty|Swati Raj|Dimpy Ghosh	SCHOOL OF CHEMICAL AND BIOTECHNOLOGY, SASTRA UNIVERSITY
http://dx.doi.org/10.1101/048512	2016-04-13	Genetics		Network-based metabolite ratios for an improved functional characterization of genome-wide association study results	Jan Krumsiek|Ferdinand Stueckler|Karsten Suhre|Christian Gieger|Tim D Spector|Nicole Soranzo|Gabi Kastenmueller|Fabian J Theis	Helmholtz Zentrum Muenchen;|Weill Cornell Medical College in Qatar;|King's College London;|Wellcome Trust Sanger Institute
http://dx.doi.org/10.1101/048660	2016-04-13	Bioinformatics	CC-BY	Variance Adaptive Shrinkage (vash): Flexible Empirical Bayes estimation of variances	Mengyin Lu|Matthew Stephens	University of Chicago;|Univ. of Chicago
http://dx.doi.org/10.1101/047266	2016-04-13	Genomics		Transient structural variations alter gene expression and quantitative traits in Schizosaccharomyces pombe.	Daniel Charlton Jeffares|Clemency Jolly|Mimoza Hoti|Doug Speed|Charalampos Rallis|Christophe Dessimoz|Jurg Bahler|Fritz Sedlazeck	University College London;|Johns Hopkins University
http://dx.doi.org/10.1101/048454	2016-04-13	Ecology	CC-BY-NC-ND	Zika virus, a new threat for Europe?	Henri JUPILLE|Goncalo SEIXAS|Laurence MOUSSON|Carla SOUSA|Anna-Bella FAILLOUX	Institut Pasteur;|Instituto de Higiene e Medicina Tropical, Unidade de Parasitologia Medical
http://dx.doi.org/10.1101/048413	2016-04-13	Bioinformatics	CC-BY-NC-ND	Assembly of Long Error-Prone Reads Using de Bruijn Graphs	Yu Lin|Jeffrey Yuan|Mikhail Kolmogorov|Max W. Shen|Pavel A. Pevzner	University of California, San Diego
http://dx.doi.org/10.1101/048322	2016-04-13	Genetics	CC-BY-NC-ND	Meta-GWAS Accuracy and Power (MetaGAP) calculator shows that hiding heritability is partially due to imperfect genetic correlations across studies	R. de Vlaming|A. Okbay|C.A. Rietveld|M. Johannesson|P.K.E. Magnusson|A.G. Uitterlinden|F.J.A. van Rooij|A. Hofman|P.J.F. Groenen|A.R. Thurik|P.D. Koellinger	Erasmus University Rotterdam Institute for Behavior and Biology;|Department of Economics, Stockholm School of Economics;|Department of Medical Epidemiology and Biostatistics, Karolinska Institutet;|Department of Epidemiology, Erasmus University Medical Center Rotterdam
http://dx.doi.org/10.1101/048645	2016-04-13	Neuroscience	CC-BY-ND	Unsupervised spike sorting for large scale, high density multielectrode arrays	Gerrit Hilgen|Martino Sorbaro|Sahar Pirmoradian|Jens-Oliver Muthmann|Ibolya Kepiro|Simona Ullo|Cesar Juarez Ramirez|Alessandro Maccione|Luca Berdondini|Vittorio Murino|Diego Sona|Francesca Cella Zanacchi|Upinder Bhalla|Evelyne Sernagor|Matthias H Hennig	Newcastle University;|University of Edinburgh;|NCBS Bangalore;|IIT Genova
http://dx.doi.org/10.1101/048538	2016-04-13	Pharmacology	CC-BY-NC-ND	A Possible Link Between Pyriproxyfen and Microcephaly	Dan Evans|Fred Nijhout|Raphael Parens|Alfredo J. Morales|Yaneer Bar-Yam	New England Complex Systems Institute;|Duke University
http://dx.doi.org/10.1101/048629	2016-04-13	Genomics	CC-BY	Bidirectional transcription marks accessible chromatin and is not specific to enhancers	Robert S Young|Yatendra Kumar|Wendy A Bickmore|Martin S Taylor	MRC HGU, Unversity of Edinburgh;|University of Edinburgh;|Unversity of Edinburgh
http://dx.doi.org/10.1101/048439	2016-04-13	Biophysics		A Transferable Model For Chromosome Architecture	Michele Di Pierro|Bin Zhang|Erez Lieberman Aiden|Peter G. Wolynes|Jose N. Onuchic	Rice University;|Baylor College of Medicine
http://dx.doi.org/10.1101/048405	2016-04-13	Neuroscience	CC-BY-NC-ND	Concordance Among Indices of Intrinsic Brain Function: Inter-Individual Variation and Temporal Dynamics Perspectives	Chao-Gan Yan|Zhen Yang|Stanley Colcombe|Xi-Nian Zuo|Michael Milham	Institute of Psychology, Chinese Academy of Sciences, Beijing, China;|Child Mind Institute, New York, NY, USA;|Nathan Kline Institute for Psychiatric Research, Orangeburg, NY, USA
http://dx.doi.org/10.1101/048561	2016-04-13	Neuroscience	CC-BY-NC-ND	Posterior inferotemporal cortex cells use multiple visual pathways to complement fine and coarse discriminations	Carlos R Ponce|Stephen G. Lomber|Margaret S Livingstone	Harvard Medical School;|University of Western Ontario
http://dx.doi.org/10.1101/048611	2016-04-13	Microbiology	CC-BY-NC	Inventory of cultivatable populations of S-cycling, fermentative, Fe-reducing, and aerobic heterotrophic bacteria from salt marsh sediments.	David Emerson|Cynthia Lydell	Bigelow Laboratory;|American Type Culture Collection
http://dx.doi.org/10.1101/048579	2016-04-13	Bioengineering	CC-BY-NC	Long Range Force Transmission in Fibrous Matrices Enabled by Tension-Driven Alignment of Fibers	Hailong Wang|Abhilash AS|Christopher S Chen|Rebecca G Wells|Vivek B Shenoy	University of Pennsylvania;|Boston University
http://dx.doi.org/10.1101/048595	2016-04-13	Evolutionary Biology	CC-BY-ND	Variation and evolution of the glutamine-rich repeat region of Drosophila Argonaute-2	William H Palmer|Darren J Obbard	University of Edinburgh
http://dx.doi.org/10.1101/048470	2016-04-13	Bioinformatics	CC-BY-NC-ND	Assessment of pharmacogenomic agreement	Zhaleh Safikhani|Nehme El-Hachem|Rene Quevedo|Petr Smirnov|Anna Goldenberg|Nicolai Juul Birkbak|Christopher E Mason|Christos Hatzis|Leming Shi|Hugo JWL Aerts|John Quackenbush|Benjamin Haibe-Kains	University Health Network;|Universite de Montreal;|University of Toronto;|SickKids Research Institute/University of Toronto;|University College London;|Weill Cornell Medical College;|Yale University;|Fudan University;|Dana-Farber Cancer Institute
http://dx.doi.org/10.1101/048520	2016-04-13	Neuroscience	CC-BY-NC-ND	Temperature-dependent changes in neuronal dynamics in a patient with an SCN1A mutation and hyperthermia induced seizures	Colin Peters|Richard E Rosch|Elaine Hughes|Peter C Ruben	Simon Fraser University;|University College London;|Evelina London Children's Hospital, Guy's and St. Thomas' NHS Foundation Trust
http://dx.doi.org/10.1101/048397	2016-04-13	Ecology	CC-BY	Using Google Earth to improve management of threatened limestone karst ecosystems in Peninsular Malaysia	Thor-Seng Liew|Liz Price|Reuben Clements Gopalasamy	Universiti Malaysia Sabah;|NA;|Kenyir Research Institute, Universiti Malaysia Terengganu
http://dx.doi.org/10.1101/048496	2016-04-13	Bioinformatics	CC-BY-NC-ND	Reversible Polymorphism-Aware Phylogenetic Models and their Application to Tree Inference	Dominik Schrempf|Bui Quang Minh|Nicola De Maio|Arndt von Haeseler|Carolin Kosiol	Institute of Population Genetics, Vetmeduni Vienna;|Center for Integrative Bioinformatics Vienna, Max   F. Perutz Laboratories, University of Vienna;|Nuffield Department of Medicine, University of   Oxford, UK;|Center for Integrative Bioinformatics Vienna
http://dx.doi.org/10.1101/048462	2016-04-13	Evolutionary Biology	CC-BY-ND	Retrotransposon proliferation coincident with the evolution of dioecy in Asparagus	Alex Harkess|Francesco Mercati|Loredana Abbate|Michael McKain|J. Chris Pires|Tea Sala|Francesco Sunseri|Agostino Falavigna|Jim Leebens-Mack	University of Georgia;|Universita Mediterranea di Reggio Calabria;|Institute of Biosciences and BioResources, Division of Palermo;|Donald Danforth Plant Science Center;|University of Missouri;|Consiglio per la Ricerca in Agricoltura e lanalisi delleconomia agraria (CREA)
http://dx.doi.org/10.1101/048603	2016-04-13	Bioinformatics	CC-BY-NC	Third-generation sequencing and the future of genomics	Hayan Lee|James Gurtowski|Shinjae Yoo|Maria Nattestad|Shoshana Marcus|Sara Goodwin|W. Richard McCombie|Michael Schatz	Cold Spring Harbor Laboratory;|Brookhaven National Laboratory;|City University of New York
http://dx.doi.org/10.1101/023705	2016-04-13	Bioinformatics	CC-BY-ND	Fast Bayesian Inference of Copy Number Variants using Hidden Markov Models with Wavelet Compression	John Wiedenhoeft|Eric Brugel|Alexander Schliep	Rutgers, The State University of New Jersey
http://dx.doi.org/10.1101/048363	2016-04-13	Ecology	CC-BY-NC-ND	Life on the edge: diet preferences reflect adaptation to drought in Neotoma fuscipes	Brendan J Barrett|Arielle Crews|Mary Brooke McElreath	University of California, Davis;|Max Planck Institute for Evolutionary Anthropology
http://dx.doi.org/10.1101/047563	2016-04-13	Evolutionary Biology	CC-BY-NC-ND	Why Mutant Allele Frequencies in Oncogenes Peak Around 0.40 and Rapidly Decrease?	Kasthuri Kannan|Adriana Heguy	New York University
http://dx.doi.org/10.1101/048421	2016-04-13	Genomics	CC-BY-ND	Effects of variable mutation rates and epistasis on the distribution of allele frequencies in humans	Arbel Harpak|Anand Bhaskar|Jonathan K Pritchard	Stanford University
http://dx.doi.org/10.1101/048132	2016-04-13	Genomics		Medical subject heading (MeSH) annotations illuminate maize genetics and evolution	Timothy Beissinger|Gota Morota	USDA-ARS, University of Missouri;|University of Nebraska-Lincoln
http://dx.doi.org/10.1101/045666	2016-04-13	Genetics	CC-BY	Decision Making by Drosophila Flies	Julius Adler|Lar L Vang	Univeresity of Wisconsin-Madison;|University of Wisconsin-Madison
http://dx.doi.org/10.1101/026146	2016-04-13	Evolutionary Biology	CC-BY-NC	Limits to adaptation in partially selfing species	Matthew Hartfield|Sylvain Glemin	University of Toronto / University of Aarhus;|Universite Montpellier II
http://dx.doi.org/10.1101/048256	2016-04-13	Systems Biology	CC-BY-NC	Transcriptome data analysis reveals correlation between developmentally altered gene expression and offspring phenotype in epigenetic inheritance	Abhay Sharma	CSIR-Institute of Genomics and Integrative Biology
http://dx.doi.org/10.1101/048355	2016-04-13	Evolutionary Biology	CC-BY-NC-ND	The effects of population size histories on estimates of selection coefficients from time-series genetic data	Ethan M Jewett|Matthias Steinrucken|Yun S. Song	UC, Berkeley;|UMass Amherst;|University of California, Berkeley
http://dx.doi.org/10.1101/048272	2016-04-13	Neuroscience	CC-BY-NC-ND	Detecting distortions of peripherally-presented letter stimuli under crowded conditions	Thomas S. A. Wallis|Saskia Tobias|Matthias Bethge|Felix A. Wichmann	Eberhard Karls Universitaet Tuebingen
http://dx.doi.org/10.1101/047621	2016-04-13	Neuroscience	CC-BY-NC-ND	A switching cost for motor planning	Jean-Jacques Orban de Xivry|Philippe Lefevre	KU Leuven;|Universite catholique de Louvain
http://dx.doi.org/10.1101/048371	2016-04-13	Biophysics		Real-time observation of DNA recognition and rejection by the RNA-guided endonuclease Cas9	Digvijay Singh|Samuel H. Sternberg|Jingyi Fei|Taekjip Ha|Jennifer A. Doudna	Johns Hopkins Medical Institute;|University of California, Berkeley;|University of Chicago
http://dx.doi.org/10.1101/048207	2016-04-13	Bioinformatics		Allele-Specific Quantification of Structural Variations in Cancer Genomes	Yang Li|Shiguo Zhou|David C. Schwartz|Jian Ma	University of Illinois at Urbana-Champaign;|University of Wisconsin-Madison;|Carnegie Mellon University
http://dx.doi.org/10.1101/048264	2016-04-13	Bioinformatics	CC-BY-NC-ND	GenRank: an R/Bioconductor package for prioritization of candidate genes	Chakravarthi Kanduri|Irma Jarvela	University of Helsinki
http://dx.doi.org/10.1101/048215	2016-04-13	Systems Biology	CC-BY-NC-ND	Extracting a low-dimensional description of multiple gene expression datasets reveals a potential driver for tumor-associated stroma in ovarian cancer	Safiye Celik|Benjamin A Logsdon|Stephanie Battle|Charles W Drescher|Mara Rendi|David Hawkins|Su-In Lee	University of Washington;|Sage Bionetworks;|Fred Hutchinson Cancer Research Center
